"Trip","Ptt","locType","Time_absolute","Time_since","off_island","lag1","diff1","Distance","Speed_ms","Speed_kph","Avg_speed","LON","LAT","Start_trip_new"
1,196716,"p","2020-01-07 11:38:00",18.8,TRUE,18.7166666666667,0.0833333333333002,471.967728132799,1.57322576044329,5.66361273759584,1.33154106834594,-23112.2879385922,25665.8932202411,TRUE
1,196716,"o","2020-01-07 11:42:00",18.8666666666667,TRUE,18.8,0.0666666666666984,377.573973624613,1.57322489010181,5.6636096043665,1.48129374306764,-22916.2991184468,25341.6739305217,FALSE
1,196716,"p","2020-01-07 11:43:00",18.8833333333333,TRUE,18.8666666666667,0.0166666666666018,11.9809757230971,0.199682928719062,0.718858543388624,1.49369222140554,-22904.8788517586,25345.4752025026,FALSE
1,196716,"p","2020-01-07 11:48:00",18.9666666666667,TRUE,18.8833333333333,0.0833333333333997,59.9048792843105,0.199682930947543,0.718858551411154,1.50609069972073,-22847.7775183172,25364.4815623937,FALSE
1,196716,"p","2020-01-07 11:53:00",19.05,TRUE,18.9666666666667,0.0833333333333002,59.904880401959,0.199682934673276,0.718858564823794,1.51848917816434,-22790.676184876,25383.4879222946,FALSE
1,196716,"p","2020-01-07 11:58:00",19.1333333333333,TRUE,19.05,0.0833333333333002,59.9048815201741,0.19968293840066,0.718858578242375,1.53088765673513,-22733.5748514347,25402.4942821902,FALSE
1,196716,"p","2020-01-07 12:03:00",19.2166666666667,TRUE,19.1333333333333,0.0833333333333997,59.9048826409723,0.199682942136416,0.718858591691096,1.5432861354339,-22676.4735179935,25421.5006420896,FALSE
1,196716,"p","2020-01-07 12:08:00",19.3,TRUE,19.2166666666667,0.0833333333333002,59.9048837625952,0.199682945875397,0.718858605151429,1.55568461426189,-22619.3721845523,25440.5070019935,FALSE
1,196716,"o","2020-01-07 12:09:00",19.3166666666667,TRUE,19.3,0.0166666666666977,11.9809768875458,0.199682948125391,0.718858613251408,1.56808309306928,-22607.9519178638,25444.3082739735,FALSE
1,196716,"p","2020-01-07 12:13:00",19.3833333333333,TRUE,19.3166666666667,0.0666666666666025,208.537492943177,0.868906220597406,3.12806239415066,1.64740389887777,-22416.4341321892,25529.1646101163,FALSE
1,196716,"p","2020-01-07 12:18:00",19.4666666666667,TRUE,19.3833333333333,0.0833333333333997,260.671893541116,0.868906311803027,3.1280627224909,1.7267247135621,-22177.0369000959,25635.2350302992,FALSE
1,196716,"p","2020-01-07 12:23:00",19.55,TRUE,19.4666666666667,0.0833333333333002,260.67192404926,0.86890641349788,3.12806308859237,1.80604553817075,-21937.6396680024,25741.3054504826,FALSE
1,196716,"p","2020-01-07 12:28:00",19.6333333333333,TRUE,19.55,0.0833333333333002,260.671954673122,0.868906515577418,3.1280634560787,1.88536637274166,-21698.242435909,25847.3758706595,FALSE
1,196716,"p","2020-01-07 12:33:00",19.7166666666667,TRUE,19.6333333333333,0.0833333333333997,260.671985412585,0.868906618041258,3.12806382494853,1.9646872173142,-21458.8452038156,25953.4462908443,FALSE
1,196716,"p","2020-01-07 12:38:00",19.8,TRUE,19.7166666666667,0.0833333333333002,260.672016266498,0.868906720888671,3.12806419519922,2.04400807192627,-21219.4479717223,26059.5167110266,FALSE
1,196716,"o","2020-01-07 12:41:00",19.85,TRUE,19.8,0.0500000000000007,156.403224618658,0.868906803436979,3.12806449237312,2.12332893454697,-21075.8096324662,26123.1589631329,FALSE
1,196716,"p","2020-01-07 12:43:00",19.8833333333333,TRUE,19.85,0.0333333333332995,107.454711741977,0.895455931184054,3.22364135226259,2.2053047096962,-21057.2479222661,26229.3196550917,FALSE
1,196716,"p","2020-01-07 12:48:00",19.9666666666667,TRUE,19.8833333333333,0.0833333333333997,268.636849554597,0.895456165181279,3.2236421946526,2.28728050800128,-21010.8436467664,26494.7213849796,FALSE
1,196716,"p","2020-01-07 12:53:00",20.05,TRUE,19.9666666666667,0.0833333333333002,268.636949950373,0.895456499834931,3.22364339940575,2.36925633952457,-20964.4393712667,26760.1231148753,FALSE
1,196716,"p","2020-01-07 12:58:00",20.1333333333333,TRUE,20.05,0.0833333333333002,268.637050458132,0.895456834860798,3.22364460549887,2.45123220430607,-20918.0350957667,27025.5248447681,FALSE
1,196716,"p","2020-01-07 13:03:00",20.2166666666667,TRUE,20.1333333333333,0.0833333333333997,268.637151098503,0.895457170327632,3.22364581317948,2.53320810238801,-20871.630820267,27290.9265746619,FALSE
1,196716,"p","2020-01-07 13:08:00",20.3,TRUE,20.2166666666667,0.0833333333333002,268.637251859139,0.895457506197488,3.22364702231096,2.46498103439977,-20825.226544767,27556.3283045559,FALSE
1,196716,"p","2020-01-07 13:13:00",20.3833333333333,TRUE,20.3,0.0833333333333002,268.637352748186,0.89545784249431,3.22364823297951,2.39675390388694,-20778.8222692673,27821.7300344513,FALSE
1,196716,"p","2020-01-07 13:18:00",20.4666666666667,TRUE,20.3833333333333,0.0833333333333997,268.637453754587,0.895458179181245,3.22364944505248,2.32852671066324,-20732.4179937675,28087.1317643438,FALSE
1,196716,"p","2020-01-07 13:23:00",20.55,TRUE,20.4666666666667,0.0833333333333002,268.637554886622,0.895458516289095,3.22365065864074,2.26029945454349,-20686.0137182675,28352.5334942295,FALSE
1,196716,"p","2020-01-07 13:28:00",20.6333333333333,TRUE,20.55,0.0833333333333002,268.637656148396,0.895458853828344,3.22365187378204,2.1920721547353,-20639.6094427678,28617.9352241296,FALSE
