"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y"
976.25,"p",196708,NA,976.25,NA,NA,NA,NA,-20200.8935769555,1278.77454492909,8992.99033450137,17591.1123426546,-655.240516857971,-4607.98882366878
976.333333333333,"p",196708,NA,976.333333333333,NA,NA,NA,NA,-19338.8349060935,1288.73147714408,9063.02298290215,17152.6823791204,-654.957971276902,-4606.00152327254
976.416666666667,"p",196708,NA,976.416666666667,NA,NA,NA,NA,-18476.1886291103,1288.73159501603,9063.02381226838,16714.2690899503,-654.957967932076,-4606.0014997378
976.5,"p",196708,NA,976.5,NA,NA,NA,NA,-17613.5423451699,1288.73159501742,9063.0238122782,16275.8558009782,-654.957967932037,-4606.00149973752
976.583333333333,"p",196708,NA,976.583333333333,NA,NA,NA,NA,-16750.8960612282,1288.73159501644,9063.02381227128,15837.4425120055,-654.957967932015,-4606.00149973737
976.666666666667,"p",196708,NA,976.666666666667,NA,NA,NA,NA,-15888.2497821874,1288.73151199888,9063.02322814619,15399.0292231444,-654.957966042153,-4606.00148643999
976.75,"p",196708,NA,976.75,NA,NA,NA,NA,-15026.0173558797,1281.7188151435,9013.69902641318,14960.625355476,-654.798324799991,-4604.87864069382
976.783333333333,"o",196708,2020-02-16 09:37:00,976.783333333333,"A",1100,-14719.2240262313,14786.1311315108,-14719.224920958,633.226238300403,4453.1727928951,14786.1311518789,-640.03565037747,-4501.06008303424
976.833333333333,"p",196708,NA,976.833333333333,NA,NA,NA,NA,-14689.5356566233,-21.5537691306402,-151.576063033239,14534.1899930576,-625.129845109603,-4396.23481504355
976.916666666667,"p",196708,NA,976.916666666667,NA,NA,NA,NA,-14704.4059595961,-22.2791098298035,-156.678166065292,14115.7530185958,-625.113333018379,-4396.11866770645
977,"p",196708,NA,977,NA,NA,NA,NA,-14719.3190711646,-22.2791184165166,-156.678226487281,13697.3170186551,-625.113332822906,-4396.11866633097
977.083333333333,"p",196708,NA,977.083333333333,NA,NA,NA,NA,-14734.2321832399,-22.2791184166183,-156.678226487997,13278.8810187255,-625.113332822904,-4396.11866633095
977.166666666667,"p",196708,NA,977.166666666667,NA,NA,NA,NA,-14749.1452953153,-22.2791184166183,-156.678226487997,12860.4450187958,-625.113332822904,-4396.11866633095
977.25,"p",196708,NA,977.25,NA,NA,NA,NA,-14764.0584073907,-22.2791184166183,-156.678226487997,12442.0090188667,-625.113332822904,-4396.11866633095
