"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y","Time_absolute"
1.68333333333333,"p",196701,2020-01-06 18:31:00,1.68333333333333,"0",1,-27026.2088464091,35661.0151462468,-35796.9296882645,-0.00000000000791563690416441,-4962.35561226435,40397.9847819211,0.00000000000426978497699114,2676.75483083819,2020-01-06 18:31:00
1.76666666666667,"p",196701,NA,1.76666666666667,NA,NA,NA,NA,-36210.0008463267,-0.00000000000788896679778931,-4945.63093987495,40620.8244296354,0.00000000000425679798122818,2668.6107580178,2020-01-06 18:36:00
1.85,"p",196701,NA,1.85,NA,NA,NA,NA,-36620.0952680117,-0.00000000000779793921954166,-4888.5518118929,40842.2145567099,0.00000000000421247214478838,2640.81609848803,2020-01-06 18:41:00
1.93333333333333,"p",196701,NA,1.93333333333333,NA,NA,NA,NA,-37023.0072126263,-0.00000000000760495122915831,-4767.55198470545,41060.1071793233,0.00000000000411849673358603,2581.89527893917,2020-01-06 18:46:00
2.01666666666667,"p",196701,NA,2.01666666666667,NA,NA,NA,NA,-37411.5655121774,-0.00000000000723028065876896,-4532.67429348868,41271.0102999654,0.00000000000393605107545039,2467.52167707612,2020-01-06 18:51:00
2.1,"p",196701,2020-01-06 18:56:00,2.1,"0",2,-41603.2736545102,43333.7159195718,-37772.6728132472,-0.00000000000651915336906409,-4086.94485153286,41468.546167401,0.00000000000358976797599696,2250.47389587222,2020-01-06 18:56:00
2.18333333333333,"p",196701,NA,2.18333333333333,NA,NA,NA,NA,-38092.702589539,-0.0000000000058068405509797,-3640.47131855435,41646.0789553731,0.00000000000324288467195945,2033.0493892627,2020-01-06 19:01:00
2.26666666666667,"p",196701,NA,2.26666666666667,NA,NA,NA,NA,-38385.1489305061,-0.00000000000542812366087136,-3403.05414161701,41810.1774387673,0.00000000000305839045919966,1917.39007266986,2020-01-06 19:06:00
2.35,"p",196701,NA,2.35,NA,NA,NA,NA,-38662.9220735609,-0.00000000000522655704930477,-3276.67095725157,41967.1246339665,0.00000000000296007189784745,1855.74371638602,2020-01-06 19:11:00
2.43333333333333,"p",196701,NA,2.43333333333333,NA,NA,NA,NA,-38932.8741369954,-0.00000000000511887477204969,-3209.14197546106,42120.2510069958,0.00000000000290731418675732,1822.65840652625,2020-01-06 19:16:00
2.51666666666667,"p",196701,NA,2.51666666666667,NA,NA,NA,NA,-39198.6281521455,-0.00000000000506059393373562,-3172.58652441218,42271.309522099,0.000000000002878323435586,1804.47422045816,2020-01-06 19:21:00
2.6,"p",196701,NA,2.6,NA,NA,NA,NA,-39462.0739033253,-0.00000000000502763907367473,-3151.9119652499,42421.1993875963,0.00000000000286112374092636,1793.68345836342,2020-01-06 19:26:00
2.68333333333333,"p",196701,NA,2.68333333333333,NA,NA,NA,NA,-39724.148162549,-0.00000000000500639673912987,-3138.58239851271,42570.3373117715,0.00000000000284861001327388,1785.83094131267,2020-01-06 19:31:00
2.76666666666667,"p",196701,NA,2.76666666666667,NA,NA,NA,NA,-39985.2214543302,-0.0000000000049880918505887,-3127.09444970829,42718.8295491052,0.00000000000283561290766251,1777.67460278643,2020-01-06 19:36:00
2.85,"p",196701,NA,2.85,NA,NA,NA,NA,-40245.2510340343,-0.00000000000496516276966001,-3112.70509262534,42866.5157695322,0.00000000000281676339862429,1765.84693757758,2020-01-06 19:41:00
2.93333333333333,"p",196701,NA,2.93333333333333,NA,NA,NA,NA,-40503.7632399134,-0.00000000000492813763213463,-3089.47339742776,43012.9028630122,0.00000000000278427486834516,1745.46466085791,2020-01-06 19:46:00
3.01666666666667,"p",196701,NA,3.01666666666667,NA,NA,NA,NA,-40759.6579325125,-0.00000000000486172157835131,-3047.80770061401,43156.9613493258,0.00000000000272472650209138,1708.11254773627,2020-01-06 19:51:00
3.1,"p",196701,NA,3.1,NA,NA,NA,NA,-41010.7542804005,-0.00000000000473847853947239,-2970.50549758877,43296.7003368635,0.00000000000261351923107397,1638.3690417104,2020-01-06 19:56:00
3.18333333333333,"p",196701,NA,3.18333333333333,NA,NA,NA,NA,-41252.8903609068,-0.00000000000450749756391567,-2825.65104939978,43428.345543764,0.00000000000240471400638713,1507.43916094503,2020-01-06 20:01:00
3.26666666666667,"p",196701,NA,3.26666666666667,NA,NA,NA,NA,-41478.204828272,-0.00000000000407336181215862,-2553.4383405191,43544.7810112169,0.00000000000201205465664104,1261.26592217162,2020-01-06 20:06:00
3.35,"p",196701,NA,3.35,NA,NA,NA,NA,-41671.8912020216,-0.00000000000325673243927447,-2041.47898593154,43632.611139538,0.00000000000127333598692107,798.21184911853,2020-01-06 20:11:00
3.41666666666667,"o",196701,2020-01-06 20:15:01,3.41666666666667,"B",4,-41786.0344910259,43665.9665537405,-41786.0344233083,-0.00000000000210970812995948,-1322.49457931078,43665.9664750476,0.000000000000235703072371511,147.883378405568,2020-01-06 20:15:00
3.43333333333333,"p",196701,NA,3.43333333333333,NA,NA,NA,NA,-41806.2255826967,-0.00000000000176075238856709,-1103.76934521685,43666.7937442215,-0.00000000000006955260625618,-43.423534819888,2020-01-06 20:16:00
3.51666666666667,"p",196701,NA,3.51666666666667,NA,NA,NA,NA,-41859.6463053927,-0.00000000000035602016726204,-223.201370559086,43635.7744039262,-0.000000000000957717914460435,-600.069990285804,2020-01-06 20:21:00
3.6,"p",196701,NA,3.6,NA,NA,NA,NA,-41846.3769069232,0.000000000000876905536374294,549.71412308737,43581.4850653025,-0.00000000000099010430164093,-620.36891850048,2020-01-06 20:26:00
