"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","optional","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y","Time_absolute"
62.9333333333333,"p",196710,NA,62.9333333333333,NA,NA,TRUE,NA,NA,-18106.2951999502,7.6942534566975,240.699904405438,20195.0995327514,-1.34641321263949,-42.1199448908776,2020-01-09 07:46:00
63.0166666666667,"p",196710,NA,63.0166666666667,NA,NA,TRUE,NA,NA,-18085.595686795,7.6942534566975,240.699904405438,20191.4773362428,-1.34641321263949,-42.1199448908776,2020-01-09 07:51:00
63.1,"p",196710,NA,63.1,NA,NA,TRUE,NA,NA,-18064.8961736399,7.6942534566975,240.699904405438,20187.8551397342,-1.34641321263949,-42.1199448908776,2020-01-09 07:56:00
63.1833333333333,"p",196710,NA,63.1833333333333,NA,NA,TRUE,NA,NA,-18044.1966604847,7.6942534566975,240.699904405438,20184.2329432256,-1.34641321263949,-42.1199448908776,2020-01-09 08:01:00
63.2666666666667,"p",196710,NA,63.2666666666667,NA,NA,TRUE,NA,NA,-18023.4971473295,7.6942534566975,240.699904405438,20180.6107467169,-1.34641321263949,-42.1199448908776,2020-01-09 08:06:00
63.3166666666667,"o",196710,2020-01-09 08:09:00,63.3166666666667,"B",47,TRUE,-18007.4757418312,20118.8057674053,-18011.0789742644,3.38772006737008,105.978299383753,20178.462840257,69.9548921875348,2188.40410664865,2020-01-09 08:09:00
63.35,"p",196710,NA,63.35,NA,NA,TRUE,NA,NA,-18012.0661767351,-0.918813321957328,-28.7433056379322,20330.4435740042,141.256197587709,4418.92815818818,2020-01-09 08:11:00
63.4333333333333,"p",196710,NA,63.4333333333333,NA,NA,TRUE,NA,NA,-18014.5380199817,-0.918813321957328,-28.7433056379322,20710.4589369856,141.256197587709,4418.92815818818,2020-01-09 08:16:00
63.5166666666667,"p",196710,NA,63.5166666666667,NA,NA,TRUE,NA,NA,-18017.0098632284,-0.918813321957328,-28.7433056379322,21090.4742999669,141.256197587709,4418.92815818818,2020-01-09 08:21:00
63.6,"p",196710,NA,63.6,NA,NA,TRUE,NA,NA,-18019.481706475,-0.918813321957328,-28.7433056379322,21470.4896629482,141.256197587709,4418.92815818818,2020-01-09 08:26:00
63.6833333333333,"p",196710,NA,63.6833333333333,NA,NA,TRUE,NA,NA,-18021.9535497217,-0.918813321957328,-28.7433056379322,21850.5050259295,141.256197587709,4418.92815818818,2020-01-09 08:31:00
63.7666666666667,"p",196710,NA,63.7666666666667,NA,NA,TRUE,NA,NA,-18024.4253929684,-0.918813321957328,-28.7433056379322,22230.5203889109,141.256197587709,4418.92815818818,2020-01-09 08:36:00
63.8,"o",196710,2020-01-09 08:38:00,63.8,"A",48,TRUE,-17781.5582103914,22792.8259210782,-18025.4318116605,-50.5305699316765,-1580.7515856551,22382.4967843032,57.7820160542236,1807.59911522004,2020-01-09 08:38:00
63.85,"p",196710,NA,63.85,NA,NA,TRUE,NA,NA,-18187.0592398777,-100.142326541396,-3132.75986567228,22341.055429442,-25.692165479262,-803.729927748102,2020-01-09 08:41:00
63.9333333333333,"p",196710,NA,63.9333333333333,NA,NA,TRUE,NA,NA,-18456.4677558955,-100.142326541396,-3132.75986567228,22271.9369216731,-25.692165479262,-803.729927748102,2020-01-09 08:46:00
64.0166666666667,"p",196710,NA,64.0166666666667,NA,NA,TRUE,NA,NA,-18725.8762719133,-100.142326541396,-3132.75986567228,22202.8184139041,-25.692165479262,-803.729927748102,2020-01-09 08:51:00
64.0666666666667,"o",196710,2020-01-09 08:54:00,64.0666666666667,"B",49,TRUE,-18908.3430732903,22119.439905105,-18887.5125085651,-75.2459247212294,-2353.92387178685,22161.3651676703,24.4163263937185,763.817758535671,2020-01-09 08:54:00
64.1,"p",196710,NA,64.1,NA,NA,TRUE,NA,NA,-18941.7026282174,-50.3495229010633,-1575.08787790142,22241.5436513456,74.524818266699,2331.36544481944,2020-01-09 08:56:00
64.1833333333333,"p",196710,NA,64.1833333333333,NA,NA,TRUE,NA,NA,-19077.155744951,-50.3495229010633,-1575.08787790142,22442.0345066028,74.524818266699,2331.36544481944,2020-01-09 09:01:00
64.2666666666667,"p",196710,NA,64.2666666666667,NA,NA,TRUE,NA,NA,-19212.6088616845,-50.3495229010633,-1575.08787790142,22642.52536186,74.524818266699,2331.36544481944,2020-01-09 09:06:00
64.35,"p",196710,NA,64.35,NA,NA,TRUE,NA,NA,-19348.061978418,-50.3495229010633,-1575.08787790142,22843.0162171172,74.524818266699,2331.36544481944,2020-01-09 09:11:00
64.4333333333333,"p",196710,NA,64.4333333333333,NA,NA,TRUE,NA,NA,-19483.5150951516,-50.3495229010633,-1575.08787790142,23043.5070723744,74.524818266699,2331.36544481944,2020-01-09 09:16:00
64.5166666666667,"p",196710,NA,64.5166666666667,NA,NA,TRUE,NA,NA,-19618.9682118851,-50.3495229010633,-1575.08787790142,23243.9979276315,74.524818266699,2331.36544481944,2020-01-09 09:21:00
64.6,"p",196710,NA,64.6,NA,NA,TRUE,NA,NA,-19754.4213286186,-50.3495229010633,-1575.08787790142,23444.4887828887,74.524818266699,2331.36544481944,2020-01-09 09:26:00
64.6833333333333,"p",196710,NA,64.6833333333333,NA,NA,TRUE,NA,NA,-19889.8744453522,-50.3495229010633,-1575.08787790142,23644.9796381459,74.524818266699,2331.36544481944,2020-01-09 09:31:00
64.7666666666667,"p",196710,NA,64.7666666666667,NA,NA,TRUE,NA,NA,-20025.3275620857,-50.3495229010633,-1575.08787790142,23845.4704934031,74.524818266699,2331.36544481944,2020-01-09 09:36:00
64.85,"p",196710,NA,64.85,NA,NA,TRUE,NA,NA,-20160.7806788193,-50.3495229010633,-1575.08787790142,24045.9613486603,74.524818266699,2331.36544481944,2020-01-09 09:41:00
64.9333333333333,"p",196710,NA,64.9333333333333,NA,NA,TRUE,NA,NA,-20296.2337955528,-50.3495229010633,-1575.08787790142,24246.4522039175,74.524818266699,2331.36544481944,2020-01-09 09:46:00
