"Time","Lon","Lat","Time2"
0.0525,-24137.2744363083,21018.3681167922,2020-01-06 12:17:45
0.135833333333333,-24147.9562898192,21049.4891263137,2020-01-06 12:22:45
0.219166666666667,-24158.404865785,21080.605256278,2020-01-06 12:27:45
0.3025,-24168.3865085236,21111.7116201173,2020-01-06 12:32:45
0.385833333333333,-24177.6668051302,21142.8033173681,2020-01-06 12:37:45
0.469166666666667,-24186.010204442,21173.8754270607,2020-01-06 12:42:45
0.5525,-24193.1796329259,21204.9230015801,2020-01-06 12:47:45
0.635833333333333,-24198.9361061636,21235.9410612746,2020-01-06 12:52:45
0.719166666666667,-24203.038334284,21266.9245902211,2020-01-06 12:57:45
0.8025,-24205.2423192066,21297.8685337476,2020-01-06 13:02:45
0.885833333333333,-24205.3009408293,21328.767798611,2020-01-06 13:07:45
0.969166666666667,-24202.9635281995,21359.6172571677,2020-01-06 13:12:45
1.0525,-24197.9754100782,21390.4117575332,2020-01-06 13:17:45
1.13583333333333,-24190.0774368864,21421.1461427072,2020-01-06 13:22:45
1.21916666666667,-24179.0054624097,21451.8152831028,2020-01-06 13:27:45
1.3025,-24164.4897682696,21482.4141290936,2020-01-06 13:32:45
1.38583333333333,-24146.2544061766,21512.9377934346,2020-01-06 13:37:45
1.46916666666667,-24124.016421077,21543.3816782418,2020-01-06 13:42:45
1.5525,-24097.4849005948,21573.7416684012,2020-01-06 13:47:45
1.63583333333333,-24066.3597697918,21604.0144239853,2020-01-06 13:52:45
1.71916666666667,-24030.3562514589,21634.186911216,2020-01-06 13:57:45
1.8025,-23990.2518829839,21663.7975474497,2020-01-06 14:02:45
1.88583333333333,-23948.2465467008,21691.7851256557,2020-01-06 14:07:45
1.96916666666667,-23906.6340384944,21717.0450553394,2020-01-06 14:12:45
2.0525,-23867.7081861195,21738.4683914117,2020-01-06 14:17:45
2.13583333333333,-23833.7685174723,21754.9391184759,2020-01-06 14:22:45
2.21916666666667,-23806.8496160785,21765.4726938765,2020-01-06 14:27:45
2.3025,-23787.202313193,21769.9928232143,2020-01-06 14:32:45
2.38583333333333,-23774.3733478363,21768.7794598298,2020-01-06 14:37:45
2.46916666666667,-23767.9218418809,21762.1025007644,2020-01-06 14:42:45
2.5525,-23767.4194288119,21750.2217710898,2020-01-06 14:47:45
2.63583333333333,-23772.4488503279,21733.3877659029,2020-01-06 14:52:45
2.71916666666667,-23782.6028148345,21711.8422259727,2020-01-06 14:57:45
2.8025,-23797.4830406514,21685.8185755769,2020-01-06 15:02:45
2.88583333333333,-23816.6994341486,21655.5422309757,2020-01-06 15:07:45
2.96916666666667,-23839.8693725882,21621.230769124,2020-01-06 15:12:45
3.0525,-23866.6170763234,21583.093925622,2020-01-06 15:17:45
3.13583333333333,-23896.5730675685,21541.3333652197,2020-01-06 15:22:45
3.21916666666667,-23929.3737252334,21496.1421333106,2020-01-06 15:27:45
3.3025,-23964.6609592718,21447.7036471732,2020-01-06 15:32:45
3.38583333333333,-24002.0929494788,21396.2139577566,2020-01-06 15:37:45
3.46916666666667,-24041.9227145533,21343.8458125106,2020-01-06 15:42:45
3.5525,-24082.9043874016,21296.477410815,2020-01-06 15:47:45
3.63583333333333,-24122.1860239367,21260.5231977735,2020-01-06 15:52:45
3.71916666666667,-24156.8921061358,21242.4233312005,2020-01-06 15:57:45
3.8025,-24184.1538602575,21248.6019201377,2020-01-06 16:02:45
3.88583333333333,-24202.39534053,21280.942318589,2020-01-06 16:07:45
3.96916666666667,-24212.2605631531,21333.5235043484,2020-01-06 16:12:45
4.0525,-24214.5944410688,21399.7038133063,2020-01-06 16:17:45
4.13583333333333,-24210.2262593749,21472.8739972732,2020-01-06 16:22:45
4.21916666666667,-24199.9722106923,21546.4406151434,2020-01-06 16:27:45
4.3025,-24184.6375416391,21613.810178943,2020-01-06 16:32:45
4.38583333333333,-24165.0184473624,21668.3731895972,2020-01-06 16:37:45
4.46916666666667,-24141.8918003618,21704.0487768902,2020-01-06 16:42:45
4.5525,-24115.9103515509,21720.242940951,2020-01-06 16:47:45
4.63583333333333,-24087.6549288303,21719.4631856239,2020-01-06 16:52:45
4.71916666666667,-24057.7019520871,21704.2143687374,2020-01-06 16:57:45
4.8025,-24026.6251154118,21676.9703238585,2020-01-06 17:02:45
4.88583333333333,-23994.9962870471,21640.180640303,2020-01-06 17:07:45
4.96916666666667,-23963.3864041051,21596.2766154124,2020-01-06 17:12:45
5.0525,-23932.3663591406,21547.6767106187,2020-01-06 17:17:45
5.13583333333333,-23902.5329564402,21496.7137511946,2020-01-06 17:22:45
5.21916666666667,-23874.6177428758,21445.3042721376,2020-01-06 17:27:45
5.3025,-23849.3993573721,21395.2291231727,2020-01-06 17:32:45
5.38583333333333,-23827.6613093635,21348.2730909332,2020-01-06 17:37:45
5.46916666666667,-23810.193665628,21306.2285256287,2020-01-06 17:42:45
5.5525,-23797.851693419,21270.690529001,2020-01-06 17:47:45
5.63583333333333,-23791.7354728435,21242.4088091733,2020-01-06 17:52:45
5.71916666666667,-23792.8606003021,21221.8589414355,2020-01-06 17:57:45
5.8025,-23800.2438090826,21208.6591344517,2020-01-06 18:02:45
5.88583333333333,-23811.5329525616,21201.8431403821,2020-01-06 18:07:45
5.96916666666667,-23824.3579984337,21200.4462044263,2020-01-06 18:12:45
6.0525,-23836.3517980147,21203.5143254275,2020-01-06 18:17:45
6.13583333333333,-23845.1987952066,21210.0976105941,2020-01-06 18:22:45
6.21916666666667,-23849.9003734796,21219.1447230518,2020-01-06 18:27:45
6.3025,-23850.8077458491,21229.497839673,2020-01-06 18:32:45
6.38583333333333,-23848.3242218969,21239.9960265069,2020-01-06 18:37:45
6.46916666666667,-23842.8448958211,21249.4777296942,2020-01-06 18:42:45
6.5525,-23834.7578910818,21256.7780762471,2020-01-06 18:47:45
6.63583333333333,-23824.4452497094,21260.7258994551,2020-01-06 18:52:45
6.71916666666667,-23812.3810432747,21260.4743273618,2020-01-06 18:57:45
6.8025,-23799.5411224152,21256.8990067007,2020-01-06 19:02:45
6.88583333333333,-23787.0626169908,21251.4271643938,2020-01-06 19:07:45
6.96916666666667,-23776.0826700064,21245.4805376848,2020-01-06 19:12:45
7.0525,-23767.7408454995,21240.4787479151,2020-01-06 19:17:45
7.13583333333333,-23763.1816245238,21237.8427392366,2020-01-06 19:22:45
7.21916666666667,-23763.5570158214,21238.9981872891,2020-01-06 19:27:45
7.3025,-23770.0294084385,21245.3790629919,2020-01-06 19:32:45
7.38583333333333,-23783.6990584085,21258.3604325914,2020-01-06 19:37:45
7.46916666666667,-23804.2740399742,21277.8753353744,2020-01-06 19:42:45
7.5525,-23830.2342218925,21302.4779830268,2020-01-06 19:47:45
7.63583333333333,-23860.0286513295,21330.6756509935,2020-01-06 19:52:45
7.71916666666667,-23892.1139832024,21360.9830634194,2020-01-06 19:57:45
7.8025,-23924.9504792333,21391.9184438648,2020-01-06 20:02:45
7.88583333333333,-23957.2216820644,21422.2163141031,2020-01-06 20:07:45
7.96916666666667,-23988.657776421,21451.6252250659,2020-01-06 20:12:45
8.0525,-24019.293181434,21480.1884269292,2020-01-06 20:17:45
8.13583333333333,-24049.1594501919,21507.9463172515,2020-01-06 20:22:45
8.21916666666667,-24078.2858112149,21534.9369692925,2020-01-06 20:27:45
8.3025,-24106.6995718835,21561.1965304567,2020-01-06 20:32:45
8.38583333333333,-24134.4264017311,21586.7595069129,2020-01-06 20:37:45
8.46916666666667,-24161.4905345007,21611.6589712186,2020-01-06 20:42:45
8.5525,-24187.9149151088,21635.9267177037,2020-01-06 20:47:45
8.63583333333333,-24213.7213090894,21659.5933822666,2020-01-06 20:52:45
8.71916666666667,-24238.9303863366,21682.6885377872,2020-01-06 20:57:45
8.8025,-24263.5617870976,21705.2407727074,2020-01-06 21:02:45
8.88583333333333,-24287.6341755741,21727.2777578707,2020-01-06 21:07:45
8.96916666666667,-24311.1652847429,21748.8263050658,2020-01-06 21:12:45
9.0525,-24334.171954835,21769.9124196055,2020-01-06 21:17:45
9.13583333333333,-24356.6701671257,21790.5613485326,2020-01-06 21:22:45
9.21916666666667,-24378.6750741581,21810.7976255374,2020-01-06 21:27:45
9.3025,-24400.2010271642,21830.6451133393,2020-01-06 21:32:45
9.38583333333333,-24421.2616012106,21850.1270440565,2020-01-06 21:37:45
9.46916666666667,-24441.8696184324,21869.2660579325,2020-01-06 21:42:45
9.5525,-24462.0371696089,21888.08424069,2020-01-06 21:47:45
9.63583333333333,-24481.7756342627,21906.6031597086,2020-01-06 21:52:45
9.71916666666667,-24501.0956994124,21924.8438991769,2020-01-06 21:57:45
9.8025,-24520.007377074,21942.8270943396,2020-01-06 22:02:45
9.88583333333333,-24538.5200205848,21960.5729649352,2020-01-06 22:07:45
9.96916666666667,-24556.6423398039,21978.1013479061,2020-01-06 22:12:45
10.0525,-24574.3824152357,21995.431729454,2020-01-06 22:17:45
10.1358333333333,-24591.747711111,22012.5832765033,2020-01-06 22:22:45
10.2191666666667,-24608.7450874565,22029.5748676326,2020-01-06 22:27:45
10.3025,-24625.3808111783,22046.4251235308,2020-01-06 22:32:45
10.3858333333333,-24641.6605661802,22063.1524370276,2020-01-06 22:37:45
10.4691666666667,-24657.5894625381,22079.7750027538,2020-01-06 22:42:45
10.5525,-24673.172044744,22096.3108464764,2020-01-06 22:47:45
10.6358333333333,-24688.4122990372,22112.7778541608,2020-01-06 22:52:45
10.7191666666667,-24703.3136598332,22129.1938008055,2020-01-06 22:57:45
10.8025,-24717.8790152619,22145.5763790961,2020-01-06 23:02:45
10.8858333333333,-24732.1107118251,22161.9432279271,2020-01-06 23:07:45
10.9691666666667,-24746.0105581798,22178.3119608359,2020-01-06 23:12:45
11.0525,-24759.5798280542,22194.7001943955,2020-01-06 23:17:45
11.1358333333333,-24772.8192623017,22211.1255766121,2020-01-06 23:22:45
11.2191666666667,-24785.729070095,22227.6058153734,2020-01-06 23:27:45
11.3025,-24798.3089292641,22244.1587069928,2020-01-06 23:32:45
11.3858333333333,-24810.5579857765,22260.8021648963,2020-01-06 23:37:45
11.4691666666667,-24822.474852361,22277.5542484987,2020-01-06 23:42:45
11.5525,-24834.0576062714,22294.433192314,2020-01-06 23:47:45
11.6358333333333,-24845.3037861873,22311.4574353492,2020-01-06 23:52:45
11.7191666666667,-24856.2103882463,22328.6456508266,2020-01-06 23:57:45
11.8025,-24866.7738612025,22346.0167762846,2020-01-07 00:02:45
11.8858333333333,-24876.9901007013,22363.5900441041,2020-01-07 00:07:45
11.9691666666667,-24886.8544426641,22381.3850125099,2020-01-07 00:12:45
12.0525,-24896.3616557696,22399.4215970982,2020-01-07 00:17:45
12.1358333333333,-24905.5059330213,22417.720102939,2020-01-07 00:22:45
12.2191666666667,-24914.2808823866,22436.3012573074,2020-01-07 00:27:45
12.3025,-24922.6795164939,22455.186243095,2020-01-07 00:32:45
12.3858333333333,-24930.6942413684,22474.3967329555,2020-01-07 00:37:45
12.4691666666667,-24938.3168441914,22493.95492424,2020-01-07 00:42:45
12.5525,-24945.5384800617,22513.8835747784,2020-01-07 00:47:45
12.6358333333333,-24952.3496577377,22534.2060395638,2020-01-07 00:52:45
12.7191666666667,-24958.7402243384,22554.9463083997,2020-01-07 00:57:45
12.8025,-24964.6993489769,22576.1290445702,2020-01-07 01:02:45
12.8858333333333,-24970.2155053021,22597.7796245965,2020-01-07 01:07:45
12.9691666666667,-24975.276452918,22619.9241791426,2020-01-07 01:12:45
13.0525,-24979.8692176536,22642.5896351364,2020-01-07 01:17:45
13.1358333333333,-24983.9800706485,22665.8037591749,2020-01-07 01:22:45
13.2191666666667,-24987.594506223,22689.5952022828,2020-01-07 01:27:45
13.3025,-24990.6972184951,22713.9935460964,2020-01-07 01:32:45
13.3858333333333,-24993.272076709,22739.0293505477,2020-01-07 01:37:45
13.4691666666667,-24995.302099232,22764.7342031261,2020-01-07 01:42:45
13.5525,-24996.7694261818,22791.1407697956,2020-01-07 01:47:45
13.6358333333333,-24997.6552906366,22818.2828476508,2020-01-07 01:52:45
13.7191666666667,-24997.9399883842,22846.1954193964,2020-01-07 01:57:45
13.8025,-24997.602846159,22874.9147097379,2020-01-07 02:02:45
13.8858333333333,-24996.6221883185,22904.4782437735,2020-01-07 02:07:45
13.9691666666667,-24994.9753019026,22934.9249074836,2020-01-07 02:12:45
14.0525,-24992.6384000213,22966.2950104126,2020-01-07 02:17:45
14.1358333333333,-24989.5865835119,22998.6303506465,2020-01-07 02:22:45
14.2191666666667,-24985.793800802,23031.9742821891,2020-01-07 02:27:45
14.3025,-24981.2328059162,23066.371784847,2020-01-07 02:32:45
14.3858333333333,-24975.8751145563,23101.8695367345,2020-01-07 02:37:45
14.4691666666667,-24969.6909581862,23138.5159895172,2020-01-07 02:42:45
14.5525,-24962.6492360464,23176.3614465134,2020-01-07 02:47:45
14.6358333333333,-24954.717465021,23215.4581437809,2020-01-07 02:52:45
14.7191666666667,-24945.8617272763,23255.8603343193,2020-01-07 02:57:45
14.8025,-24936.0466155866,23297.6243755229,2020-01-07 03:02:45
14.8858333333333,-24925.2351762599,23340.8088200271,2020-01-07 03:07:45
14.9691666666667,-24913.3888495695,23385.474510092,2020-01-07 03:12:45
15.0525,-24900.467407598,23431.6846756778,2020-01-07 03:17:45
15.1358333333333,-24886.4288893912,23479.5050363689,2020-01-07 03:22:45
15.2191666666667,-24871.2295333187,23529.0039073114,2020-01-07 03:27:45
15.3025,-24854.8237065321,23580.2523093343,2020-01-07 03:32:45
15.3858333333333,-24837.1638314061,23633.3240834332,2020-01-07 03:37:45
15.4691666666667,-24818.2003088449,23688.2960098003,2020-01-07 03:42:45
15.5525,-24797.8814383293,23745.2479315921,2020-01-07 03:47:45
15.6358333333333,-24776.1533345763,23804.2628836372,2020-01-07 03:52:45
15.7191666666667,-24752.9598406752,23865.4272262893,2020-01-07 03:57:45
15.8025,-24728.2424375619,23928.8307846438,2020-01-07 04:02:45
15.8858333333333,-24701.9401496819,23994.5669933433,2020-01-07 04:07:45
15.9691666666667,-24673.9894466918,24062.7330472071,2020-01-07 04:12:45
16.0525,-24644.3241410373,24133.4300579299,2020-01-07 04:17:45
16.1358333333333,-24612.8752812419,24206.7632171068,2020-01-07 04:22:45
16.2191666666667,-24579.5710407297,24282.8419658544,2020-01-07 04:27:45
16.3025,-24544.3366019991,24361.7801713077,2020-01-07 04:32:45
16.3858333333333,-24507.0940359532,24443.6963102944,2020-01-07 04:37:45
16.4691666666667,-24467.762176181,24528.7136604994,2020-01-07 04:42:45
16.5525,-24426.2564879722,24616.96049946,2020-01-07 04:47:45
16.6358333333333,-24382.4889318283,24708.5703117558,2020-01-07 04:52:45
16.7191666666667,-24336.3678212159,24803.6820047934,2020-01-07 04:57:45
16.8025,-24287.7976742793,24902.4401336335,2020-01-07 05:02:45
16.8858333333333,-24236.6790591935,25004.9951353688,2020-01-07 05:07:45
16.9691666666667,-24182.9084327913,25111.5035736493,2020-01-07 05:12:45
17.0525,-24126.3779720279,25222.1283940759,2020-01-07 05:17:45
17.1358333333333,-24066.9753977499,25337.0391913576,2020-01-07 05:22:45
17.2191666666667,-24004.5837900955,25456.4124893875,2020-01-07 05:27:45
17.3025,-23939.081394647,25580.4320357631,2020-01-07 05:32:45
17.3858333333333,-23870.34141816,25709.2891128294,2020-01-07 05:37:45
17.4691666666667,-23798.2318122533,25843.1828681309,2020-01-07 05:42:45
17.5525,-23722.6150427937,25982.3206683593,2020-01-07 05:47:45
17.6358333333333,-23643.3478417524,26126.9184826582,2020-01-07 05:52:45
